月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
,楽天 3 - 4 ソフトバンク,楽天生命パーク 14:00,,勝：モイネロ 敗：松井
,西武 6 - 3 オリックス,メットライフ 14:00,,勝：多和田 敗：田嶋
4/8（日）,ヤクルト 7 - 4 巨人,神　宮 13:00,,勝：中尾 敗：野上
,阪神 7 - 9 中日,京セラD大阪 14:00,,勝：又吉 敗：マテオ
,広島 3 - 5 DeNA,マツダスタジアム 13:30,,勝：京山 敗：大瀬良
,日本ハム 2 - 5 ロッテ,東京ドーム 14:00,,勝：益田 敗：井口
,楽天 4 - 5 ソフトバンク,楽天生命パーク 13:00,,勝：中田 敗：池田
,西武 7 - 4 オリックス,メットライフ 13:00,,勝：武隈 敗：山岡
4/9（月）,,,,
4/10（火）,巨人 3 - 4 DeNA,東京ドーム 18:00,,勝：井納 敗：上原
,中日 3 - 0 ヤクルト,ナゴヤドーム 18:00,,勝：柳 敗：原
,阪神 4 - 3 広島,甲子園 18:00,,勝：藤川 敗：一岡
,ロッテ 5 - 2 西武,ZOZOマリン 18:15,,勝：石川 敗：十亀
,オリックス 2 - 4 楽天,京セラD大阪 18:00,,勝：岸 敗：金子千尋
,ソフトバンク 1 - 4 日本ハム,ヤフオクドーム 18:00,,勝：上沢 敗：東浜
4/11（水）,巨人 3 - 6 DeNA,東京ドーム 18:00,,勝：三嶋 敗：澤村
,中日 8 - 3 ヤクルト,ナゴヤドーム 18:00,,勝：ガルシア 敗：ハフ
,阪神 4 - 1 広島,甲子園 18:00,,勝：髙橋遥 敗：中村恭
,ロッテ 6 - 3 西武,ZOZOマリン 18:15,,勝：二木 敗：カスティーヨ
,オリックス 2 - 2 楽天,京セラD大阪 18:00,,分：澤田 分：菅原
,ソフトバンク 8 - 5 日本ハム,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：高梨
4/12（木）,巨人 4 - 6 DeNA,東京ドーム 18:00,,勝：東 敗：大竹
,中日 9 - 4 ヤクルト,ナゴヤドーム 18:00,,勝：吉見 敗：館山
,阪神 1 - 5 広島,甲子園 18:00,,勝：岡田 敗：メッセンジャー
,ロッテ 3 - 6 西武,ZOZOマリン 18:15,,勝：榎田 敗：涌井
,オリックス 3 - 2 楽天,京セラD大阪 18:00,,勝：増井 敗：ハーマン
,ソフトバンク 3 - 0 日本ハム,ヤフオクドーム 18:00,,勝：石川 敗：マルティネス
4/13（金）,巨人 10 - 2 広島,東京ドーム 18:00,,勝：菅野 敗：野村
,DeNA 6 - 5 中日,横　浜 18:00,,勝：石田 敗：又吉
,阪神 2 - 3 ヤクルト,甲子園 18:00,,勝：カラシティー 敗：ドリス
,楽天 5 - 7 西武,楽天生命パーク 18:00,,勝：菊池 敗：則本
4/14（土）,巨人 2 - 3 広島,東京ドーム 18:00,,勝：ジョンソン 敗：田口
,DeNA 2 - 0 中日,横　浜 14:00,,勝：バリオス 敗：ジー
,阪神 0 - 6 ヤクルト,甲子園 14:00,,勝：石川 敗：秋山
,楽天 1 - 5 西武,楽天生命パーク 14:00,,勝：多和田 敗：美馬
,オリックス 1 - 2 日本ハム,ほっと神戸 13:00,,勝：有原 敗：西
,ソフトバンク 中止 ロッテ,熊　本 13:00,,
4/15（日）,巨人 4 - 5 広島,東京ドーム 14:00,,勝：大瀬良 敗：上原
,DeNA 6 - 1 中日,横　浜 13:00,,勝：京山 敗：笠原
,阪神 8 - 3 ヤクルト,甲子園 14:00,,勝：岩貞 敗：由規
,楽天 12 - 6 西武,楽天生命パーク 13:00,,勝：池田 敗：ウルフ
,オリックス 7 - 0 日本ハム,ほっと神戸 13:00,,勝：山岡 敗：加藤
,ソフトバンク 7 - 6 ロッテ,鹿児島 14:00,,勝：サファテ 敗：内
4/16（月）,,,,
4/17（火）,DeNA 2 - 3 巨人,新　潟 18:00,,勝：山口俊 敗：エスコバー
,中日 中止 阪神,豊　橋 18:00,,
,広島 7 - 4 ヤクルト,呉 18:00,,勝：薮田 敗：原
,西武 2 - 7 日本ハム,東京ドーム 18:00,,勝：村田 敗：十亀
,ロッテ 5 - 3 オリックス,ZOZOマリン 18:15,,勝：石川 敗：近藤
,ソフトバンク 5 - 3 楽天,ヤフオクドーム 18:00,,勝：東浜 敗：岸
4/18（水）,中日 3 - 4 阪神,ナゴヤドーム 18:00,,勝：メッセンジャー 敗：柳
,広島 3 - 2 ヤクルト,マツダスタジアム 18:00,,勝：中村祐 敗：ハフ
,西武 9 - 8 日本ハム,メットライフ 18:00,,勝：ワグナー 敗：石川直
,ロッテ 3 - 4 オリックス,ZOZOマリン 18:15,,勝：アルバース 敗：唐川
,ソフトバンク 5 - 2 楽天,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：辛島
4/19（木）,DeNA 5 - 0 巨人,横　浜 18:00,,勝：東 敗：吉川光
,中日 1 - 2 阪神,ナゴヤドーム 18:00,,勝：小野 敗：松坂
,広島 5 - 4 ヤクルト,マツダスタジアム 18:00,,勝：今村 敗：風張
,ロッテ 0 - 3 オリックス,ZOZOマリン 18:15,,勝：田嶋 敗：涌井
,ソフトバンク 1 - 3 楽天,ヤフオクドーム 18:00,,勝：藤平 敗：石川
4/20（金）,中日 11 - 7 広島,ナゴヤドーム 18:00,,勝：伊藤準 敗：中田
,阪神 2 - 8 巨人,甲子園 18:00,,勝：菅野 敗：藤浪
,日本ハム 2 - 1 ソフトバンク,札幌ドーム 18:00,,勝：マルティネス 敗：武田
,楽天 5 - 2 オリックス,楽天生命パーク 18:00,,勝：則本 敗：ディクソン
,西武 9 - 8 ロッテ,メットライフ 18:00,,勝：菊池 敗：松永
4/21（土）,ヤクルト 5 - 6 DeNA,神　宮 18:00,,勝：パットン 敗：秋吉
,中日 4 - 3 広島,ナゴヤドーム 14:00,,勝：鈴木博 敗：ジャクソン
,阪神 0 - 3 巨人,甲子園 14:00,,勝：田口 敗：秋山
,日本ハム 0 - 10 ソフトバンク,札幌ドーム 14:00,,勝：中田 敗：有原
,楽天 1 - 3 オリックス,楽天生命パーク 14:00,,勝：西 敗：美馬
,西武 9 - 3 ロッテ,メットライフ 14:00,,勝：多和田 敗：酒居
4/22（日）,ヤクルト 6 - 2 DeNA,神　宮 18:00,,勝：由規 敗：ウィーランド
,中日 3 - 2 広島,ナゴヤドーム 14:00,,勝：ガルシア 敗：大瀬良
,阪神 1 - 10 巨人,甲子園 14:00,,勝：野上 敗：髙橋遥
,日本ハム 11 - 2 ソフトバンク,札幌ドーム 14:00,,勝：加藤 敗：高橋礼
,楽天 0 - 8 オリックス,楽天生命パーク 13:00,,勝：山岡 敗：池田
,西武 11 - 5 ロッテ,メットライフ 13:00,,勝：高木勇 敗：二木
4/23（月）,,,,
4/24（火）,巨人 3 - 1 中日,長　野 18:00,,勝：山口俊 敗：柳
,ヤクルト 中止 阪神,松　山 18:20,,
,DeNA 2 - 7 広島,横　浜 18:00,,勝：中村祐 敗：今永
,日本ハム 5 - 3 オリックス,札幌ドーム 18:00,,勝：上沢 敗：金子千尋
,楽天 中止 ロッテ,楽天生命パーク 13:00,,
,ソフトバンク 中止 西武,北九州 18:00,,
4/25（水）,巨人 20 - 4 中日,前　橋 18:00,,勝：吉川光 敗：大野雄
,ヤクルト 2 - 4 阪神,松　山 18:20,,勝：メッセンジャー 敗：ハフ
,DeNA 5 - 11 広島,横　浜 18:00,,勝：岡田 敗：京山
,日本ハム 4 - 1 オリックス,札幌ドーム 18:00,,勝：高梨 敗：アルバース
,楽天 3 - 7 ロッテ,楽天生命パーク 18:00,,勝：内 敗：福山
,ソフトバンク 6 - 12 西武,ヤフオクドーム 18:00,,勝：カスティーヨ 敗：バンデンハーク
4/26（木）,DeNA 3 - 4 広島,横　浜 18:00,,勝：ジャクソン 敗：山﨑
,日本ハム 3 - 2 オリックス,札幌ドーム 18:00,,勝：マルティネス 敗：ディクソン
,楽天 0 - 1 ロッテ,楽天生命パーク 18:00,,勝：涌井 敗：辛島
,ソフトバンク 4 - 1 西武,ヤフオクドーム 18:00,,勝：石川 敗：十亀
4/27（金）,,,,
4/28（土）,巨人 3 - 0 ヤクルト,東京ドーム 14:00,,勝：菅野 敗：ブキャナン
,中日 1 - 6 DeNA,ナゴヤドーム 14:00,,勝：井納 敗：小笠原
,広島 7 - 5 阪神,マツダスタジアム 13:30,,勝：一岡 敗：岩崎
,西武 7 - 3 楽天,メットライフ 14:00,,勝：菊池 敗：則本
,ロッテ 2 - 5 日本ハム,ZOZOマリン 14:00,,勝：有原 敗：唐川
,オリックス 3 - 1 ソフトバンク,京セラD大阪 18:00,,勝：西 敗：東浜
4/29（日）,巨人 11 - 8 ヤクルト,東京ドーム 14:00,,勝：田原 敗：近藤
,中日 2 - 4 DeNA,ナゴヤドーム 14:00,,勝：三嶋 敗：田島
,広島 5 - 2 阪神,マツダスタジアム 13:30,,勝：大瀬良 敗：能見
,西武 16 - 4 楽天,メットライフ 13:00,,勝：多和田 敗：藤平
,ロッテ 6 - 5 日本ハム,ZOZOマリン 14:00,,勝：田中 敗：西村
,オリックス 4 - 7 ソフトバンク,京セラD大阪 13:00,,勝：モイネロ 敗：吉田一
4/30（月）,巨人 11 - 1 ヤクルト,東京ドーム 14:00,,勝：野上 敗：館山
,中日 3 - 1 DeNA,ナゴヤドーム 14:00,,勝：松坂 敗：飯塚
,広島 2 - 4 阪神,マツダスタジアム 13:30,,勝：岩崎 敗：一岡
,西武 5 - 2 楽天,メットライフ 13:00,,勝：榎田 敗：池田
,ロッテ 4 - 2 日本ハム,ZOZOマリン 14:00,,勝：二木 敗：ロドリゲス
,オリックス 6 - 5 ソフトバンク,京セラD大阪 13:00,,勝：田嶋 敗：中田
