No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
69,石井　大智,投手,支配下選手,1997.07.29,175,81,右,右,
75,スアレス,投手,支配下選手,1991.03.01,188,95,右,右,
92,伊藤　和雄,投手,支配下選手,1989.12.13,186,95,右,右,
93,石井　将希,投手,支配下選手,1995.07.12,180,89,左,左,
2,梅野　隆太郎,捕手,支配下選手,1991.06.17,173,75,右,右,
12,坂本　誠志郎,捕手,支配下選手,1993.11.10,176,77,右,右,
39,榮枝　裕貴,捕手,支配下選手,1998.05.16,180,81,右,右,
57,長坂　拳弥,捕手,支配下選手,1994.04.28,173,75,右,右,
59,藤田　健斗,捕手,支配下選手,2001.10.18,173,78,右,右,
94,原口　文仁,捕手,支配下選手,1992.03.03,182,91,右,右,
95,片山　雄哉,捕手,支配下選手,1994.06.18,177,79,右,左,
0,山本　泰寛,内野手,支配下選手,1993.10.10,176,76,右,右,
0,木浪　聖也,内野手,支配下選手,1994.06.15,179,78,右,左,
3,大山　悠輔,内野手,支配下選手,1994.12.19,181,89,右,右,
4,熊谷　敬宥,内野手,支配下選手,1995.11.10,175,68,右,右,
8,佐藤　輝明,内野手,支配下選手,1999.03.13,187,94,右,左,
26,北條　史也,内野手,支配下選手,1994.07.29,177,79,右,右,
31,マルテ,内野手,支配下選手,1991.06.21,185,102,右,右,
33,糸原　健斗,内野手,支配下選手,1992.11.11,175,78,右,左,
38,小幡　竜平,内野手,支配下選手,2000.09.21,184,76,右,左,
45,遠藤　成,内野手,支配下選手,2001.09.19,178,79,右,左,
51,中野　拓夢,内野手,支配下選手,1996.06.28,171,69,右,左,
55,陽川　尚将,内野手,支配下選手,1991.07.17,180,88,右,右,
58,荒木　郁也,内野手,支配下選手,1988.04.25,183,74,右,左,
62,植田　海,内野手,支配下選手,1996.04.19,175,71,右,左右,
67,髙寺　望夢,内野手,支配下選手,2002.10.17,178,75,右,左,
5,近本　光司,外野手,支配下選手,1994.11.09,171,67,左,左,
7,糸井　嘉男,外野手,支配下選手,1981.07.31,188,92,右,左,
9,髙山　俊,外野手,支配下選手,1993.04.18,181,87,右,左,
24,ロハス・ジュニア,外野手,支配下選手,1990.05.24,189,102,右,左右,
25,江越　大賀,外野手,支配下選手,1993.03.12,182,83,右,右,
32,井上　広大,外野手,支配下選手,2001.08.12,188,95,右,右,
52,サンズ,外野手,支配下選手,1987.09.28,193,102,右,右,
53,島田　海吏,外野手,支配下選手,1996.02.06,176,69,右,左,
60,中谷　将大,外野手,支配下選手,1993.01.05,187,94,右,右,
63,板山　祐太郎,外野手,支配下選手,1994.03.27,180,80,右,左,
68,俊介,外野手,支配下選手,1987.08.17,178,77,右,右,
97,小野寺　暖,外野手,支配下選手,1998.03.17,183,79,右,右,4/19 育成選手から支配下選手へ移行
120,島本　浩也,投手,育成選手,1993.02.14,176,72,左,左,
121,才木　浩人,投手,育成選手,1998.11.07,189,88,右,右,
122,岩田　将貴,投手,育成選手,1998.06.16,178,83,左,左,
123,鈴木　翔太,投手,育成選手,1995.06.16,183,75,右,右,
126,牧　丈一郎,投手,育成選手,1999.09.23,181,85,右,左,
125,藤谷　洸介,内野手,育成選手,1996.02.12,194,97,右,右,
128,奥山　皓太,外野手,育成選手,1997.09.03,186,89,右,右,
