* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
,佐藤　龍世,52,63,59,6,13,6,0,2,25,7,0,0,1,0,3,0,0,14,1,0.220,0.424,0.258
*,佐野　泰雄,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,鈴木　将平,16,28,26,4,4,0,0,0,4,1,1,1,1,0,1,0,0,6,1,0.154,0.154,0.185
*,平良　海馬,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,高木　勇人,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,高木　渉,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,髙橋　光成,21,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000
*,武隈　祥太,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,田村　伊知郎,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,多和田　真三郎,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,十亀　剣,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
*,戸川　大輔,10,25,23,3,4,1,0,1,8,1,0,1,0,0,2,0,0,4,0,0.174,0.348,0.240
,外崎　修汰,143,621,533,96,146,27,6,26,263,90,22,6,14,6,63,0,5,132,9,0.274,0.493,0.353
*,永江　恭平,27,26,21,4,2,1,0,0,3,1,1,1,1,0,4,0,0,12,0,0.095,0.143,0.240
,中田　祥多,2,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0.125,0.125,0.125
,中村　剛也,135,557,496,69,142,30,0,30,262,123,2,1,0,3,54,5,4,123,12,0.286,0.528,0.359
,ニール,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,野田　昇吾,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ヒース,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,平井　克典,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,本田　圭佑,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,マーティン,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,増田　達至,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,松本　直晃,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,松本　航,16,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.000,0.000,0.000
*,水口　大地,20,11,10,5,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0.000,0.000,0.091
,南川　忠亮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,メヒア,75,147,128,13,27,9,0,6,54,31,0,0,0,4,15,0,0,46,2,0.211,0.422,0.286
*,森　友哉,135,573,492,96,162,34,2,23,269,105,3,2,1,6,72,3,2,89,9,0.329,0.547,0.413
,森脇　亮介,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,山川　穂高,143,626,524,93,134,20,0,43,283,120,1,0,0,3,86,8,13,142,13,0.256,0.540,0.372
,山田　遥楓,4,13,12,2,2,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0.167,0.167,0.231
,山野辺　翔,9,18,14,1,1,1,0,0,2,1,1,0,0,0,2,0,2,4,1,0.071,0.143,0.278
,廖　任磊,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
