* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
*,武隈　祥太,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,田代　将太郎,38,62,56,8,4,0,1,1,9,5,3,2,0,0,5,0,1,16,1,0.071,0.161,0.161
*,田村　伊知郎,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,多和田　真三郎,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,十亀　剣,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,外崎　修汰,135,489,438,65,113,22,3,10,171,48,23,3,10,3,33,0,5,109,4,0.258,0.390,0.315
*,永江　恭平,25,19,17,3,4,1,0,1,8,4,0,0,2,0,0,0,0,5,0,0.235,0.471,0.235
,中塚　駿太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,中村　剛也,115,486,415,69,90,14,0,27,185,79,1,0,0,6,61,1,4,118,12,0.217,0.446,0.319
,野上　亮磨,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
*,野田　昇吾,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,平井　克典,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ファイフ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,福倉　健太郎,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,藤原　良平,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,本田　圭佑,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,牧田　和久,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,誠,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,増田　達至,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,水口　大地,56,51,50,17,14,3,0,0,17,4,5,4,0,0,1,0,0,6,1,0.280,0.340,0.294
,南川　忠亮,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,メヒア,113,388,345,34,83,18,0,19,158,53,1,0,0,2,37,0,4,100,7,0.241,0.458,0.320
*,森　友哉,38,145,124,16,42,8,3,2,62,18,3,1,0,0,21,0,0,24,4,0.339,0.500,0.434
,山川　穂高,78,293,242,46,72,19,0,23,160,61,0,1,0,0,46,1,5,72,7,0.298,0.661,0.420
,渡辺　直人,32,79,68,3,16,7,0,0,23,3,0,0,4,0,7,0,0,14,2,0.235,0.338,0.307
