* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
,藤原　良平,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,牧田　和久,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
,増田　達至,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ミゲル・メヒア,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,宮田　和希,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,メヒア,135,525,473,52,111,31,0,27,223,89,0,0,0,2,45,1,5,153,14,0.235,0.471,0.307
*,森　友哉,138,531,474,51,136,33,1,17,222,68,0,4,0,3,44,3,9,143,5,0.287,0.468,0.357
,森本　稀哲,12,15,12,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0.000,0.000,0.143
,山川　穂高,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000
,米野　智人,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
*,ルブラン,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,脇谷　亮太,118,272,235,32,69,13,1,3,93,22,4,2,8,1,27,0,1,47,3,0.294,0.396,0.367
,渡辺　直人,83,188,158,20,43,7,1,0,52,23,1,0,10,1,14,0,5,26,2,0.272,0.329,0.348
