No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考
98,木下　雄介,投手,支配下選手,1993.10.10,183,80,右,右,
27,大野　奨太,捕手,支配下選手,1987.01.13,177,78,右,右,
35,木下　拓哉,捕手,支配下選手,1991.12.18,183,92,右,右,
39,山下　斐紹,捕手,支配下選手,1992.11.16,179,93,右,左,6/1 育成選手から支配下選手へ移行
44,郡司　裕也,捕手,支配下選手,1997.12.27,180,86,右,右,
52,加藤　匠馬,捕手,支配下選手,1992.04.29,175,76,右,右,
57,Ａ．マルティネス,捕手,支配下選手,1996.05.28,190,95,右,右,
58,石橋　康太,捕手,支配下選手,2000.12.07,180,87,右,右,
68,桂　依央利,捕手,支配下選手,1991.07.09,185,90,右,右,
0,髙松　渡,内野手,支配下選手,1999.07.02,176,65,右,左,
1,京田　陽太,内野手,支配下選手,1994.04.20,184,88,右,左,
2,石川　昂弥,内野手,支配下選手,2001.06.22,185,93,右,右,
3,高橋　周平,内野手,支配下選手,1994.01.18,180,85,右,左,
5,阿部　寿樹,内野手,支配下選手,1989.12.03,185,80,右,右,
7,根尾　昂,内野手,支配下選手,2000.04.19,177,80,右,左,
32,石垣　雅海,内野手,支配下選手,1998.09.21,181,85,右,右,
37,三ツ俣　大樹,内野手,支配下選手,1992.05.11,177,84,右,右,
45,土田　龍空,内野手,支配下選手,2002.12.30,179,77,右,左,
48,溝脇　隼人,内野手,支配下選手,1994.05.17,179,75,右,左,
55,福田　永将,内野手,支配下選手,1988.07.23,181,88,右,右,
63,堂上　直倫,内野手,支配下選手,1988.09.23,184,86,右,右,
66,ビシエド,内野手,支配下選手,1989.03.10,185,108,右,右,
4,藤井　淳志,外野手,支配下選手,1981.05.20,183,82,右,左右,
6,平田　良介,外野手,支配下選手,1988.03.23,177,87,右,右,
8,大島　洋平,外野手,支配下選手,1985.11.09,176,75,左,左,
9,福留　孝介,外野手,支配下選手,1977.04.26,182,90,右,左,
23,遠藤　一星,外野手,支配下選手,1989.03.23,182,83,右,左,
26,井領　雅貴,外野手,支配下選手,1989.11.04,174,82,右,左,
30,三好　大倫,外野手,支配下選手,1997.09.28,179,82,左,左,
31,渡辺　勝,外野手,支配下選手,1993.10.14,172,80,右,左,
49,伊藤　康祐,外野手,支配下選手,2000.02.03,174,75,右,右,
51,滝野　要,外野手,支配下選手,1996.07.08,185,76,右,左,
56,武田　健吾,外野手,支配下選手,1994.04.18,183,85,右,右,
60,岡林　勇希,外野手,支配下選手,2002.02.22,175,74,右,左,
99,ガーバー,外野手,支配下選手,1992.07.08,183,86,右,左,
201,竹内　龍臣,投手,育成選手,2001.12.11,178,77,右,右,
203,上田　洸太朗,投手,育成選手,2002.09.06,184,95,左,左,
204,丸山　泰資,投手,育成選手,1995.02.05,176,80,右,右,
206,松木平　優太,投手,育成選手,2003.02.24,178,70,右,右,
207,松田　亘哲,投手,育成選手,1997.05.16,176,80,左,左,
208,垣越　建伸,投手,育成選手,2000.04.03,184,96,左,左,
205,石岡　諒太,内野手,育成選手,1992.05.25,187,90,左,左,
210,ワカマツ,内野手,育成選手,1996.10.10,190,93,右,左右,2/15 育成選手登録
