No.,名前,ポジション,契約,生年月日,身長,体重,投,打,備考,,
31,佐藤　龍世,内野手,支配下選手,1997.01.15,174,88,右,右,,,
32,山村　崇嘉,内野手,支配下選手,2002.09.28,180,86,右,左,,,
39,呉　念庭,内野手,支配下選手,1993.06.07,178,75,右,左,,,2/26 「タイシンガー ブランドン 大河」→「ブランドン」に登録名変更
49,ブランドン,内野手,支配下選手,1998.06.15,179,84,右,右,2/26 「タイシンガー ブランドン 大河」→「ブランドン」に登録名変更,,
52,山田　遥楓,内野手,支配下選手,1996.09.30,180,84,右,右,,,
56,川野　涼多,内野手,支配下選手,2001.06.28,178,78,右,左右,,,
60,中村　剛也,内野手,支配下選手,1983.08.15,175,102,右,右,,,
63,綱島　龍生,内野手,支配下選手,2000.01.21,178,78,右,左,,,
99,メヒア,内野手,支配下選手,1985.12.02,198,118,右,右,,,備考
1,栗山　巧,外野手,支配下選手,1983.09.03,177,85,右,左,,,
7,金子　侑司,外野手,支配下選手,1990.04.24,179,76,右,左右,,,
9,木村　文紀,外野手,支配下選手,1988.09.13,183,86,右,右,,,
35,若林　楽人,外野手,支配下選手,1998.04.13,177,72,右,右,,,
46,鈴木　将平,外野手,支配下選手,1998.05.20,175,78,左,左,,,
51,西川　愛也,外野手,支配下選手,1999.06.10,180,82,右,左,,,
53,愛斗,外野手,支配下選手,1997.04.06,177,92,右,右,,,
58,熊代　聖人,外野手,支配下選手,1989.04.18,175,77,右,右,,,
65,戸川　大輔,外野手,支配下選手,1996.04.29,188,90,右,左,,,
66,仲三河　優太,外野手,支配下選手,2002.10.22,180,90,右,左,,,
68,岸　潤一郎,外野手,支配下選手,1996.12.08,174,82,右,右,,,
72,川越　誠司,外野手,支配下選手,1993.06.30,174,80,左,左,,,
73,高木　渉,外野手,支配下選手,1999.12.06,181,81,右,左,,,
118,多和田　真三郎,投手,育成選手,1993.04.13,182,82,右,右,,,
120,出井　敏博,投手,育成選手,1997.04.29,185,75,右,右,,,
121,赤上　優人,投手,育成選手,1999.02.10,177,81,右,右,,,
124,豆田　泰志,投手,育成選手,2003.01.15,173,82,右,右,,,4/19 自由契約
125,東野　葵,投手,育成選手,1996.11.30,183,85,左,左,4/19 自由契約,,
126,大窪　士夢,投手,育成選手,2000.08.02,199,96,右,右,,,備考
127,中熊　大智,捕手,育成選手,1996.08.27,174,87,右,左,,,備考
122,長谷川　信哉,内野手,育成選手,2002.05.17,183,80,右,右,,,備考
123,ジョセフ,外野手,育成選手,1999.03.24,175,88,右,右,,,
